BLOCK,TRT,PLOT,PTORCH,MORTALITY,ABOVEGROUND_LIVECARBON,CANOPY,STABLECARBON,YEAR
1,bo,2,0,0.3,46.90846015,23.97085583,32.8359221,2002
1,bo,2,0.579637766,0.99,25.89907301,13.35722029,0.25899073,2022
1,bo,5,6.57E-08,0.3,27.680361,15.61116617,19.3762527,2002
1,bo,5,0,0.21,22.6341587,12.9449257,17.88098537,2022
1,bo,9,0,1,53.63106312,28.92969588,0,2002
1,bo,9,0.061525315,1,45.23205089,23.77376461,0,2022
1,bo,12,0,0.28,62.85094629,32.2078248,45.25268133,2002
1,bo,12,0.636215091,0.98,13.27809652,7.759228311,0.26556193,2022
1,bo,18,0,0.28,50.54179042,28.09034323,36.39008911,2002
1,bo,18,0.937436581,0.98,38.64856645,21.3633988,0.772971329,2022
1,bo,22,0.099536419,0.17,42.70783805,22.3508212,35.44750558,2002
1,bo,22,0.841635287,0.98,26.38184697,16.72066097,0.527636939,2022
1,bo,24,0.3526344,0.21,39.84758915,25.51078356,31.47959543,2002
1,bo,24,0.066324316,0.17,50.18494877,25.31427116,41.65350748,2022
1,bo,26,0,0.16,31.75790267,20.28229948,26.67663825,2002
1,bo,26,0.166666269,0.16,33.02272415,15.87731641,27.73908829,2022
1,bo,29,0.092738926,0.16,48.59729887,27.02579623,40.82173105,2002
1,bo,29,0.806910574,0.95,46.84167365,26.18187285,2.342083682,2022
1,bo,33,0.0607787,0.15,47.62116432,27.20390333,40.47798967,2002
1,bo,33,0.447555423,0.97,28.04042653,14.57528081,0.841212796,2022
1,co ,2,0.266640067,0.28,19.13840344,15.75546849,13.77965047,2002
1,co ,2,0.007687762,1,35.11910797,33.36355223,0,2022
1,co ,5,0.077805646,0.19,23.12507787,17.07152466,18.73131307,2002
1,co ,5,0.957502663,0.98,21.80959357,14.38185039,0.436191871,2022
1,co ,9,0.19786118,0.17,34.71386535,26.49632785,28.81250824,2002
1,co ,9,0.005282508,0.19,45.53331268,29.1525899,36.88198327,2022
1,co ,12,0.242226213,0.21,36.93999965,20.73796119,29.18259973,2002
1,co ,12,0.194852829,0.23,27.17110334,14.32811602,20.92174957,2022
1,co ,18,0.600000083,0.42,14.40722642,13.6495218,8.356191325,2002
1,co ,18,0.068942018,1,29.3860973,29.07607245,0,2022
1,co ,22,0.705733657,0.35,30.99454424,22.37330017,20.14645376,2002
1,co ,22,0.059697807,0.21,35.819543,20.54929364,28.29743897,2022
1,co ,24,0,0.25,40.57952543,23.57783371,30.43464407,2002
1,co ,24,0.453835428,0.98,32.13396789,18.13666598,0.642679358,2022
1,co ,26,0.437615961,0.34,34.51167802,22.04091982,22.77770749,2002
1,co ,26,0.277335912,0.95,41.53961326,22.97034336,2.076980663,2022
