BLOCK,TRT,PLOT,LOAD.1HR,LOAD.10HR,LOAD.100HR,LOAD.S1000HR,LOAD.R1000HR,LOAD.FLOOR,FWD,YEAR
1,co ,1,0,1.703692,4.0686855,0,0,4.749912922,5.7723775,2010
1,co ,1,0.022417,0.67251,1.367437,0,0,12.957026,2.062364,2002
1,co ,1,0.039401016,0.754098913,1.464360935,0,0,32.76891157,2.257860864,2016
1,co ,1,1.418436572,0,0,0,0,9.594082245,1.418436572,2022
1,co ,2,0,1.7149005,0,0,0,8.547553614,1.7149005,2010
1,co ,2,0.039597531,0,0,0,0,3.859285165,0.039597531,2022
1,co ,2,0.044834,2.062364,0,0,0,7.84595,2.107198,2002
1,co ,2,0.059396296,1.515720057,1.471664526,0,0,12.72099124,3.046780879,2016
1,co ,3,0.039401016,1.13114837,5.857443738,0,15.96993626,18.71371507,7.027993124,2022
1,co ,3,0.089668,0.336255,2.712457,23.493016,0,43.690733,3.13838,2002
1,co ,3,0.112085,0.336255,0,0,0,26.0081316,0.44834,2010
1,co ,3,0.236406095,7.163939675,1.464360935,5.437711262,7.867059118,9.788319162,8.864706705,2016
1,co ,4,0,0.757860028,2.943329051,0,2.116695635,13.25913049,3.70118908,2022
1,co ,4,0.019798765,1.136790043,1.471664526,0,2.294034439,17.01015433,2.628253334,2016
1,co ,4,0.044834,0,1.367437,0.941514,7.868367,14.189961,1.412271,2002
1,co ,4,0.1457105,0,1.367437,0,1.255352,8.886037189,1.5131475,2010
1,co ,5,0.022417,1.0423905,4.147145,0,0,34.20850885,5.2119525,2010
1,co ,5,0.044834,1.031182,2.734874,0,3.900558,34.387678,3.81089,2002
1,co ,5,0.158390124,3.811646115,17.74676019,31.79009647,0,30.20559498,21.71679643,2022
1,co ,5,0.197987654,9.473250355,4.414993577,0,0,3.836999416,14.08623159,2016
1,co ,6,0,1.52130655,0,0,0,42.41390013,1.52130655,2022
1,co ,6,0.022417,0.694927,5.469748,0,7.195857,39.117665,6.187092,2002
1,co ,6,0.1457105,2.4098275,4.0911025,0,0,20.90889758,6.6466405,2010
1,co ,6,0.160725239,0,0,0,0,43.8946034,0.160725239,2016
1,co ,7,0,0,0,0,10.32123962,33.91521473,0,2022
1,co ,7,0.019700508,0.377049457,0,8.87823845,4.963327598,26.19347699,0.396749965,2016
1,co ,7,0.022417,0.67251,0,16.341993,0,22.506668,0.694927,2002
1,co ,7,0.089668,1.0199735,0,8.451209,4.774821,26.22465426,1.1096415,2010
1,co ,8,0.039597531,1.136790043,1.471664526,8.839396119,0,48.66455072,2.648052099,2022
1,co ,8,0.237585185,1.515720057,14.71664526,1.008032508,6.231497527,32.21165398,16.4699505,2016
1,co ,8,0.381089,2.398619,0,5.895671,5.043825,61.893337,2.779708,2002
1,co ,8,0.7285525,4.797238,6.814768,0,7.868367,30.11736805,12.3405585,2010
1,co ,9,0.020090655,0,0,0,0,5.196657829,0.020090655,2022
1,co ,9,0.022417,1.748526,1.389854,0,0,7.106189,3.160797,2002
1,co ,9,0.04018131,1.153549522,2.986721992,0,0,15.30659358,4.180452824,2016
1,co ,9,0.0560425,0.3474635,1.3786455,0,0,18.00106795,1.7821515,2010
1,co ,10,0.019700508,0,0,0,0,4.311448832,0.019700508,2016
1,co ,10,0.0336255,0.3474635,0,0,0,26.72425148,0.381089,2010
1,co ,10,0.044834,0,0,0,0,41.045527,0.044834,2002
1,co ,10,0.079582326,0,1.464360935,0,0,15.73963891,1.54394326,2022
1,co ,11,0.019798765,0,0,0,0,18.26155141,0.019798765,2022
1,co ,11,0.22417,0.694927,0,8.51846,2.824542,19.301037,0.919097,2002
1,co ,11,0.356377778,2.652510099,0,0,3.024097525,20.30901449,3.008887877,2016
1,co ,11,0.381089,0.3474635,0,0,2.8357505,22.67328611,0.7285525,2010
1,co ,12,0.044834,0.67251,0,0,5.043825,32.908156,0.717344,2002
1,co ,12,0.059199781,4.533996267,7.358322628,0,0,19.4269729,11.95151868,2022
1,co ,12,0.079096804,1.133028927,1.471664526,0,0,24.1905854,2.683790257,2016
1,co ,12,0.1008765,0.336255,1.3562285,0,0,31.47702646,1.79336,2010
1,co ,13,0.14349826,5.904767844,9.173026198,2.822260846,22.44918543,22.03486099,15.2212923,2022
1,co ,13,0.594560973,1.949986583,0,12.00932798,0,13.45336741,2.544547556,2016
1,co ,13,0.650093,0.358672,0,0,0,39.22975,1.008765,2002
1,co ,13,1.1320585,0.7061355,0,0,0,40.37216116,1.838194,2010
1,co ,14,0,0,1.389854,27.259072,15.647066,12.10518,1.389854,2002
1,co ,14,0,0.3474635,0,0,0,9.999117712,0.3474635,2010
1,co ,14,0.060271965,0.384516507,2.986721992,4.431776636,3.323832477,19.33782991,3.431510464,2016
1,co ,14,0.08036262,0,0,0,0,19.51294849,0.08036262,2022
1,co ,15,0,0.336255,0,2.600372,0,12.284516,0.336255,2002
1,co ,15,0.022417,0,4.0686855,0,0,7.720104351,4.0911025,2010
1,co ,15,0.039401016,0,0,1.008032508,29.9144923,16.06125549,0.039401016,2016
1,co ,15,0.09850254,0.377049457,2.928721869,1.068785172,0,22.18452641,3.404273865,2022
1,co ,16,0.118203048,3.770494566,0,0,3.965784501,28.46063015,3.888697614,2016
1,co ,16,0.134502,3.743639,0,6.680266,0,15.579815,3.878141,2002
1,co ,16,0.157604064,1.13114837,1.464360935,0,2.116695635,13.84184124,2.753113368,2022
1,co ,16,0.1681275,1.0199735,1.3562285,0,0,5.104958132,2.5443295,2010
1,co ,17,0.039597531,0.378930014,4.414993577,0,0,5.260347665,4.833521122,2016
1,co ,17,0.0560425,0.6837185,1.367437,0,0,1.276239533,2.107198,2010
1,co ,17,0.257383951,0,4.414993577,0,0,3.276574416,4.672377528,2022
1,co ,17,0.313838,0.336255,0,0,3.855724,2.376202,0.650093,2002
1,co ,18,0.022417,0.336255,0,0,0,26.810732,0.358672,2002
1,co ,18,0.079195062,0.757860028,0,4.546511925,0,21.69095865,0.83705509,2022
1,co ,18,0.156919,1.7149005,0,0,0,22.44020181,1.8718195,2010
1,co ,18,0.316780247,0.757860028,0,0,0,7.868235748,1.074640276,2016
1,co ,19,0.067251,0,0,0,0,15.647066,0.067251,2002
1,co ,19,0.179336,0.3474635,1.367437,0,0,4.835888506,1.8942365,2010
1,co ,19,0.257383951,0.378930014,0,0,0,7.998782829,0.636313965,2022
1,co ,19,1.168127161,0.378930014,0,0,0,12.95663225,1.547057176,2016
1,co ,20,0,0,0,20.870227,7.106189,18.852697,0,2002
1,co ,20,0,0.384516507,0,0,0,13.71129416,0.384516507,2022
1,co ,20,0.0560425,0,0,1.703692,0,19.79029893,0.0560425,2010
1,co ,20,0.060271965,0.769033015,1.493360996,0,2.927332698,17.95905316,2.322665975,2016
1,co ,21,0.022417,0.358672,0,0,29.343853,30.128448,0.381089,2002
1,co ,21,0.0784595,2.8357505,2.7909165,0,0,21.87405269,5.7051265,2010
1,co ,21,0.223860879,8.541575302,6.044397391,29.24546927,23.72828331,27.51173132,14.80983357,2022
1,co ,21,0.303746219,10.76646221,13.54667908,13.42330074,0,13.08717933,24.6168875,2016
1,co ,22,0,0,1.493360996,0,3.617326378,11.60014124,1.493360996,2022
1,co ,22,0.022417,0,0,3.833307,0,15.78277938,0.022417,2010
1,co ,22,0.04018131,1.153549522,0,1.436000524,3.122435764,16.14723108,1.193730832,2016
1,co ,22,0.313838,0.694927,0,0,37.88473,23.582684,1.008765,2002
1,co ,23,0.019700508,1.13114837,1.464360935,1.142296984,0,11.85806799,2.615209812,2016
1,co ,23,0.019700508,1.508197826,2.928721869,0,0,33.31021823,4.456620203,2022
1,co ,23,0.0336255,0.6837185,1.3562285,0,0,53.72299136,2.0735725,2010
1,co ,23,0.044834,0,1.367437,0,0,41.157612,1.412271,2002
1,co ,24,0.022417,0.807012,0,0,0,31.137213,0.829429,2002
1,co ,24,0.6613015,1.0423905,0,0,0,13.73143155,1.703692,2010
1,co ,24,1.059715682,6.035082278,15.21238194,2.113564428,11.39289507,28.87138973,22.3071799,2022
1,co ,24,1.895333291,2.372284162,0,8.384187137,0,20.97770082,4.267617453,2016
1,co ,25,0,0,0,0,0,26.990068,0,2002
1,co ,25,0.269004,1.7149005,1.367437,3.7772645,0,41.71209053,3.3513415,2010
1,co ,25,0.296981482,2.273580085,2.943329051,32.09550332,0,18.73600082,5.513890618,2016
1,co ,25,0.376176543,3.031440113,16.18830978,41.64400351,9.249584178,106.6015671,19.59592644,2022
1,co ,26,0.044834,2.084781,1.389854,0,40.440268,10.289403,3.519469,2002
1,co ,26,0.1232935,2.084781,1.3786455,4.7860295,13.495034,11.96336428,3.58672,2010
1,co ,26,0.220997204,2.691615552,2.986721992,2.404766638,10.77839578,23.97406274,5.899334747,2022
1,co ,26,0.241087859,4.998714596,0,2.622353039,10.48914992,16.79363166,5.239802454,2016
1,co ,27,0.098993827,1.515720057,4.414993577,0,2.379785383,35.85441648,6.029707461,2016
1,co ,27,0.138591358,1.136790043,0,0,0,33.2019569,1.275381401,2022
1,co ,27,0.156919,0.3474635,0,0,3.855724,11.49760402,0.5043825,2010
1,co ,27,0.246587,0,0,5.895671,60.884572,27.169404,0.246587,2002
1,co ,28,0.067251,0.336255,0,0,1.972696,34.006589,0.403506,2002
1,co ,28,0.0784595,2.398619,2.7236655,4.304064,0,23.2556915,5.200744,2010
1,co ,28,0.138591358,1.894650071,4.414993577,7.382448276,0,29.5146229,6.448235006,2016
1,co ,28,0.237585185,5.305020199,22.07496789,51.01987969,4.84945616,60.8442353,27.61757327,2022
1,co ,29,0.134502,2.779708,6.9156445,1.703692,0,40.07794373,9.8298545,2010
1,co ,29,0.156919,5.223161,8.29429,0.963931,26.698647,32.325314,13.67437,2002
1,co ,29,0.220997204,6.536780625,8.960165976,29.62105099,0,22.44245316,15.71794381,2016
1,co ,29,0.361631788,3.076132059,5.973443984,72.585543,7.390430283,56.62192946,9.411207831,2022
1,co ,30,0.044834,0.67251,0,15.01939,7.39761,30.195699,0.717344,2002
1,co ,30,0.1232935,0.67251,0,0,0,22.58158641,0.7958035,2010
1,co ,30,0.197005079,6.032791306,5.857443738,56.88618001,0,29.88081099,12.08724012,2016
1,co ,30,0.236406095,2.639346196,2.928721869,32.84531308,17.6130369,22.33419183,5.804474161,2022
1,co ,31,0.089668,1.031182,0,0,0,43.95695794,1.12085,2010
1,co ,31,0.089668,1.367437,8.182205,0.941514,30.397452,46.40319,9.63931,2002
1,co ,31,0.098993827,3.031440113,10.30165168,22.74195325,59.89293628,29.73431298,13.43208562,2022
1,co ,31,0.118792593,9.09432034,7.358322628,117.8453988,0,16.53570491,16.57143556,2016
1,co ,32,0,5.6853257,12.61731995,13.14898008,24.07115043,20.33130024,18.30264565,2022
1,co ,32,0.067251,0.739761,0,1.008765,0,18.987199,0.807012,2002
1,co ,32,0.212180964,12.58893548,9.462989964,30.76439692,0,15.39256916,22.26410641,2016
1,co ,32,0.2353785,1.098433,1.457105,0,0,24.58161594,2.7909165,2010
1,co ,33,0.044834,0.739761,0,1.008765,13.651953,25.11147075,0.784595,2010
1,co ,33,0.169744771,4.060946928,7.88582497,26.40337745,14.65952631,28.00846648,12.11651667,2022
