BLOCK,PLOT,SIZE,TRT,SPECIES,DENSITY_HA,YEAR
1,2,large,bo,PSME,39.9829768,2002
1,2,large,bo,PIPO,79.9659536,2002
1,2,medium,bo,PSME,79.9659536,2002
1,2,medium,bo,PIPO,19.9914884,2002
1,2,small,bo,PSME,39.9829768,2002
1,5,large,bo,PIPO,139.9404188,2002
1,5,medium,bo,PIPO,39.9829768,2002
1,5,small,bo,PSME,39.9829768,2002
1,5,small,bo,PIPO,19.9914884,2002
1,9,large,bo,PSME,19.9914884,2002
1,9,large,bo,PIPO,19.9914884,2002
1,9,small,bo,PSME,99.957442,2002
1,12,large,bo,PSME,19.9914884,2002
1,12,large,bo,PIPO,79.9659536,2002
1,12,medium,bo,PSME,19.9914884,2002
1,12,small,bo,PSME,79.9659536,2002
1,18,large,bo,PIPO,159.9319072,2002
1,18,medium,bo,PIPO,39.9829768,2002
1,18,small,bo,PSME,19.9914884,2002
1,18,small,bo,PIPO,19.9914884,2002
1,22,large,bo,PSME,119.9489304,2002
1,22,large,bo,PIPO,19.9914884,2002
1,22,medium,bo,PSME,159.9319072,2002
1,22,medium,bo,PIPO,39.9829768,2002
1,22,small,bo,PSME,579.7531636,2002
1,24,large,bo,PSME,79.9659536,2002
1,24,medium,bo,PSME,99.957442,2002
1,24,medium,bo,PIPO,79.9659536,2002
1,24,small,bo,PSME,219.9063724,2002
1,24,small,bo,PIPO,819.6510244,2002
1,26,large,bo,PIPO,39.9829768,2002
1,26,medium,bo,PIPO,39.9829768,2002
1,26,small,bo,PIPO,1179.497816,2002
1,29,large,bo,PSME,99.957442,2002
1,29,medium,bo,PSME,59.9744652,2002
1,29,medium,bo,PIPO,39.9829768,2002
1,29,small,bo,PSME,99.957442,2002
1,29,small,bo,PIPO,19.9914884,2002
1,33,large,bo,PSME,19.9914884,2002
1,33,medium,bo,PSME,79.9659536,2002
1,33,small,bo,PSME,79.9659536,2002
1,33,small,bo,PIPO,79.9659536,2002
1,2,large,co,PSME,19.9914884,2002
1,2,large,co,PIPO,179.9233956,2002
1,2,medium,co,PSME,19.9914884,2002
1,2,medium,co,PIPO,3018.714748,2002
1,2,small,co,PSME,19.9914884,2002
1,2,small,co,PIPO,6897.063498,2002
1,5,large,co,PSME,59.9744652,2002
1,5,large,co,PIPO,39.9829768,2002
1,5,medium,co,PSME,39.9829768,2002
1,5,medium,co,PIPO,199.914884,2002
1,5,small,co,PSME,19.9914884,2002
1,5,small,co,PIPO,279.8808376,2002
1,9,large,co,PIPO,19.9914884,2002
1,9,medium,co,PIPO,199.914884,2002
1,9,small,co,PIPO,619.7361404,2002
1,12,large,co,PSME,59.9744652,2002
1,12,large,co,PIPO,39.9829768,2002
1,12,medium,co,PSME,39.9829768,2002
1,12,medium,co,PIPO,19.9914884,2002
1,12,small,co,LAOC,19.9914884,2002
1,12,small,co,PSME,59.9744652,2002
1,12,small,co,PIPO,19.9914884,2002
1,18,large,co,PSME,19.9914884,2002
1,18,large,co,PIPO,99.957442,2002
