BLOCK,TRT,PLOT,PLOTID,TREE_NO,SPECIES,STAT01,STAT02,STAT03,STAT05,STAT12,STAT20,DOWN12,DOWN20,DBH_01,DBH_05,DBH_12,DBH_20,HT01,HT20,CrFBH01,CrFBH20
1,to,2,1102,1,PIPO,0,0,0,0,0,0,0,0,21.59,22.352,23.876,25.908,12.28343961,14.72183953,5.364479828,5.30351983
1,to,2,1102,1.1,PSME,0,1,1,1,1,1,0,0,15.494,,,,10.45463967,,,
1,to,2,1102,2,PIPO,0,0,0,0,0,0,0,0,28.702,30.48,34.036,37.084,16.09343949,20.54351934,5.94359981,6.095999805
1,to,2,1102,2.1,PIPO,0,1,1,1,1,1,0,0,15.748,,,,11.36903964,,,
1,to,2,1102,3,PIPO,0,0,0,0,0,0,0,0,22.86,25.146,29.21,32.258,13.83791956,19.11095939,5.852159813,6.2483998
1,to,2,1102,3.1,PSME,0,1,1,1,1,1,0,0,22.606,,,,13.89887956,,,
1,to,2,1102,4,PIPO,0,0,0,0,0,0,0,0,14.224,15.748,19.558,23.368,10.27175967,14.50847954,5.455919825,3.047999903
1,to,2,1102,4.1,PSME,,,,,,0,0,0,,,,11.684,,7.345679765,,0.30479999
1,to,2,1102,5,PIPO,0,0,0,0,0,0,0,0,47.752,50.292,54.356,59.944,23.92679923,26.57855915,6.187439802,4.876799844
1,to,2,1102,5.1,PSME,0,1,1,1,1,1,0,0,51.308,,,,22.58567928,,,
1,to,2,1102,6,PIPO,0,0,0,0,0,0,0,0,25.146,27.686,33.02,37.338,15.33143951,17.06879945,3.44423989,3.474719889
1,to,2,1102,6.1,PIPO,0,1,1,1,1,1,0,0,20.066,,,,13.68551956,,,
1,to,2,1102,7,PIPO,0,0,0,0,0,0,0,0,30.226,31.75,36.83,39.624,17.46503944,23.28671926,5.577839822,4.876799844
1,to,2,1102,7.1,PIPO,0,1,1,1,1,1,0,0,51.054,,,,25.32887919,,,
1,to,2,1102,8.1,PSME,0,1,1,1,1,1,0,0,43.942,,,,21.15311932,,,
1,to,2,1102,9.1,PIPO,0,1,1,1,1,1,0,0,50.292,,,,25.1459992,,,
1,to,2,1102,10.1,PIPO,0,1,1,1,1,1,0,0,47.498,,,,24.41447922,,,
1,to,2,1102,11.1,PSME,0,1,1,1,1,1,0,0,12.7,,,,8.961119713,,,
1,to,2,1102,13.1,PIPO,0,1,1,1,1,1,0,0,10.16,,,,8.168639739,,,
1,to,2,1102,15.1,PIPO,0,1,1,1,1,1,0,0,24.638,,,,15.94103949,,,
1,to,2,1102,16.1,PSME,0,1,1,1,1,1,0,0,11.938,,,,8.564879726,,,
1,to,2,1102,17.1,PSME,0,1,1,1,1,1,0,0,19.812,,,,12.5882396,,,
1,to,2,1102,18.1,PIPO,0,1,1,1,1,1,0,0,10.922,,,,8.625839724,,,
1,to,2,1102,19.1,PSME,0,1,1,1,1,1,0,0,18.034,,,,11.73479962,,,
1,to,2,1102,20.1,PSME,0,1,1,1,1,1,0,0,12.192,,,,8.686799722,,,
1,to,2,1102,21.1,PIPO,0,1,1,1,1,1,0,0,21.844,,,,14.56943953,,,
1,to,2,1102,99.1,PSME,0,1,1,1,1,1,0,0,10.16,,,,7.559039758,,,
1,to,5,1105,1,PIPO,0,0,0,0,0,0,0,0,39.624,41.402,44.196,46.736,24.23159923,27.73679911,8.473439729,8.74775972
1,to,5,1105,1.05,PSME,,,,0,0,0,0,0,,10.668,14.986,18.288,,11.70431963,,2.133599932
1,to,5,1105,1.1,PSME,,,,,,0,0,0,,,,13.716,,7.711439753,,0.609599981
1,to,5,1105,1.1,PIPO,0,1,1,1,1,1,0,0,16.764,,,,11.94815962,,,
1,to,5,1105,2,PIPO,0,0,0,0,0,0,0,0,20.32,21.336,23.876,25.654,17.83079943,20.60447934,10.51559966,8.168639739
1,to,5,1105,2.1,PIPO,0,1,1,1,1,1,0,0,21.844,,,,14.56943953,,,
1,to,5,1105,3,PIPO,0,0,0,0,0,0,0,0,44.704,46.228,50.038,52.324,25.45079919,27.12719913,9.99743968,7.772399751
1,to,5,1105,3.1,PIPO,0,1,1,1,1,1,0,0,17.526,,,,12.34439961,,,
1,to,5,1105,4,PIPO,0,0,0,0,0,0,0,0,19.05,20.32,23.368,28.448,13.56359957,19.04999939,7.071359774,5.974079809
1,to,5,1105,4.1,PSME,0,1,1,1,1,1,0,0,17.272,,,,11.36903964,,,
1,to,5,1105,5,PICO,0,0,0,0,0,0,0,0,17.526,19.05,22.352,24.384,15.6057595,18.7147194,6.187439802,5.760719816
1,to,5,1105,5.1,PIPO,,,,,0,0,0,0,,,10.922,12.954,,13.13687958,,5.425439826
1,to,5,1105,5.2,PSME,,,,,,0,0,0,,,,11.938,,8.503919728,,0.30479999
1,to,5,1105,5.3,PSME,,,,,,0,0,0,,,,13.97,,7.254239768,,0.30479999
1,to,5,1105,6,PIPO,0,0,0,0,0,0,0,0,33.528,35.814,39.116,41.91,18.28799942,21.45791931,5.364479828,5.94359981
1,to,5,1105,6.1,PSME,,,,,,0,0,0,,,,11.938,,8.107679741,,0.30479999
1,to,5,1105,6.1,PIPO,0,1,1,1,1,1,0,0,14.986,,,,10.97279965,,,
1,to,5,1105,7.1,PIPO,0,1,1,1,1,1,0,0,19.558,,,,13.41119957,,,
1,to,5,1105,8.1,PSME,0,1,1,1,1,1,0,0,18.542,,,,11.97863962,,,
1,to,5,1105,9.1,PIPO,0,1,1,1,1,1,0,0,48.26,,,,24.62783921,,,
1,to,5,1105,10.2,PIPO,0,0,0,0,0,0,0,0,11.684,12.7,16.51,20.066,9.05255971,13.59407957,,4.602479853
1,to,5,1105,11.1,PIPO,0,1,1,1,1,1,0,0,16.002,,,,11.52143963,,,
1,to,5,1105,12.1,PSME,0,1,1,1,1,1,0,0,31.75,,,,17.55647944,,,
1,to,5,1105,13.1,PSME,0,1,1,1,1,1,0,0,11.684,,,,8.412479731,,,
1,to,5,1105,14.1,PICO,0,1,1,1,1,1,0,0,14.986,,,,13.16735958,,,
