new_visit_code,CodeType,cover
ESV-13-C-01.01_Pre,Forb,4.75
ESV-13-C-01.01_Pre,Graminoid,6.125
ESV-13-C-01.01_Pre,Shrub,8.35
ESV-13-C-01.01_Pre,Tree,1.25
ESV-13-C-01.post0-1,Forb,8.1
ESV-13-C-01.post0-1,Graminoid,17.2
ESV-13-C-01.post0-1,Shrub,5.875
ESV-13-C-01.post0-1,Tree,0.025
ESV-13-C-01.post04-5,Forb,18.625
ESV-13-C-01.post04-5,Graminoid,33.875
ESV-13-C-01.post04-5,Shrub,1.85
ESV-13-C-01.post04-5,Tree,5
ESV-13-C-01.post10-11,Forb,9.1875
ESV-13-C-01.post10-11,Graminoid,18.175
ESV-13-C-01.post10-11,Shrub,1.6
ESV-13-C-01.post10-11,Tree,2.35
ESV-13-C-02.01_Pre,Forb,3.575
ESV-13-C-02.01_Pre,Graminoid,3.8
ESV-13-C-02.01_Pre,Shrub,7.35
ESV-13-C-02.01_Pre,Tree,11.75
ESV-13-C-02.post0-1,Forb,11.15
ESV-13-C-02.post0-1,Graminoid,10.2125
ESV-13-C-02.post0-1,Shrub,7.575
ESV-13-C-02.post0-1,Tree,8
ESV-13-C-02.post04-5,Forb,23.5
ESV-13-C-02.post04-5,Graminoid,14.6
ESV-13-C-02.post04-5,Shrub,7.1
ESV-13-C-02.post04-5,Tree,16
ESV-13-C-02.post10-11,Forb,6.9875
ESV-13-C-02.post10-11,Graminoid,5.4875
ESV-13-C-02.post10-11,Shrub,8.625
ESV-13-C-02.post10-11,Tree,6.675000000000001
ESV-13-C-02.post10-11,UNK,2.275
ESV-13-C-03.01_Pre,Forb,0.675
ESV-13-C-03.01_Pre,Graminoid,0.675
ESV-13-C-03.01_Pre,Shrub,5.825
ESV-13-C-03.01_Pre,Tree,5
ESV-13-C-03.post0-1,Forb,1.075
ESV-13-C-03.post0-1,Graminoid,4.375
ESV-13-C-03.post0-1,Shrub,8.1
ESV-13-C-03.post0-1,Tree,4.3
ESV-13-C-03.post04-5,Forb,3.55
ESV-13-C-03.post04-5,Graminoid,14.3
ESV-13-C-03.post04-5,Shrub,7.85
ESV-13-C-03.post04-5,Tree,7.525
ESV-13-C-03.post10-11,Forb,1.075
ESV-13-C-03.post10-11,Graminoid,5.875
ESV-13-C-03.post10-11,Shrub,5.375
ESV-13-C-03.post10-11,Tree,6.825
ESV-13-T-83-02.01_Pre,Forb,1.0250000000000001
ESV-13-T-83-02.01_Pre,Graminoid,1.875
ESV-13-T-83-02.01_Pre,Shrub,7.125
ESV-13-T-83-02.01_Pre,Tree,1.325
ESV-13-T-83-02.post0-1,Forb,0.42500000000000004
ESV-13-T-83-02.post0-1,Graminoid,3.65
ESV-13-T-83-02.post0-1,Shrub,2.35
ESV-13-T-83-02.post0-1,Tree,1.075
ESV-13-T-83-02.post04-5,Forb,1.375
ESV-13-T-83-02.post04-5,Graminoid,5.35
ESV-13-T-83-02.post04-5,Shrub,9.6
ESV-13-T-83-02.post04-5,Tree,0.325
ESV-13-T-83-02.post10-11,Forb,0.875
ESV-13-T-83-02.post10-11,Graminoid,4.075
ESV-13-T-83-02.post10-11,Shrub,4.1625000000000005
ESV-13-T-83-02.post10-11,Tree,0.07500000000000001
ESV-13-T-83-02.post10-11,UNK,0.025
ESV-13-T-83-03.01_Pre,Forb,1.05
ESV-13-T-83-03.01_Pre,Graminoid,0.325
ESV-13-T-83-03.01_Pre,Shrub,12.8
ESV-13-T-83-03.01_Pre,Tree,0.07500000000000001
ESV-13-T-83-03.post0-1,Forb,3.125
ESV-13-T-83-03.post0-1,Graminoid,1.325
ESV-13-T-83-03.post0-1,Shrub,4.8
ESV-13-T-83-03.post0-1,Tree,0.275
ESV-13-T-83-03.post04-5,Forb,5.825
ESV-13-T-83-03.post04-5,Graminoid,3.125
ESV-13-T-83-03.post04-5,Shrub,8.8
ESV-13-T-83-03.post04-5,Tree,1.525
ESV-13-T-83-03.post10-11,Forb,1.6625
ESV-13-T-83-03.post10-11,Graminoid,5.075
ESV-13-T-83-03.post10-11,Shrub,7.075
ESV-13-T-83-03.post10-11,Tree,3.55
ESV-13-T-83-04.01_Pre,Forb,0.875
ESV-13-T-83-04.01_Pre,Graminoid,1.15
ESV-13-T-83-04.01_Pre,Shrub,4.55
ESV-13-T-83-04.01_Pre,Tree,1.75
ESV-13-T-83-04.post0-1,Forb,1.35
ESV-13-T-83-04.post0-1,Graminoid,7.325
ESV-13-T-83-04.post0-1,Shrub,4.775
ESV-13-T-83-04.post0-1,Tree,0.30000000000000004
ESV-13-T-83-04.post04-5,Forb,3.3
ESV-13-T-83-04.post04-5,Graminoid,12.55
ESV-13-T-83-04.post04-5,Shrub,10.3
ESV-13-T-83-04.post04-5,Tree,1.025
ESV-13-T-83-04.post10-11,Forb,1.975
ESV-13-T-83-04.post10-11,Graminoid,7.1375
ESV-13-T-83-04.post10-11,Shrub,9.1
ESV-13-T-83-04.post10-11,Tree,0.325
ESV-28-C-01.01_Pre,Forb,0.525
ESV-28-C-01.01_Pre,Graminoid,1.625
ESV-28-C-01.01_Pre,Shrub,0.375
ESV-28-C-01.01_Pre,Tree,2.775
ESV-28-C-01.post0-1,Forb,0.47500000000000003
ESV-28-C-01.post0-1,Graminoid,1.325
ESV-28-C-01.post0-1,Shrub,0.425
ESV-28-C-01.post0-1,Tree,2.025
ESV-28-C-01.post04-5,Forb,1
ESV-28-C-01.post04-5,Graminoid,2.9
ESV-28-C-01.post04-5,Shrub,0.875
ESV-28-C-01.post04-5,Tree,2.275
ESV-28-C-01.post10-11,Forb,0.4
ESV-28-C-01.post10-11,Graminoid,1.5625
ESV-28-C-01.post10-11,Shrub,0.65
ESV-28-C-01.post10-11,Tree,2.6
ESV-28-C-01.post10-11,UNK,0.275
ESV-28-C-02.01_Pre,Forb,3.6125
ESV-28-C-02.01_Pre,Graminoid,2.5
ESV-28-C-02.01_Pre,Shrub,14.2125
ESV-28-C-02.01_Pre,Tree,0.5750000000000001
ESV-28-C-02.post0-1,Forb,6.8
ESV-28-C-02.post0-1,Graminoid,6.975
ESV-28-C-02.post0-1,Shrub,9.075
ESV-28-C-02.post0-1,Tree,2.55
ESV-28-C-02.post0-1,UNK,0.25
ESV-28-C-02.post04-5,Forb,9.925
ESV-28-C-02.post04-5,Graminoid,9.2375
ESV-28-C-02.post04-5,Shrub,16.1
ESV-28-C-02.post04-5,Tree,4.05
ESV-28-C-02.post10-11,Forb,5.475
ESV-28-C-02.post10-11,Graminoid,7.2875
ESV-28-C-02.post10-11,Shrub,8.375
ESV-28-C-02.post10-11,Tree,3.9375
ESV-28-C-03.01_Pre,Forb,0.675
ESV-28-C-03.01_Pre,Graminoid,0.6
ESV-28-C-03.01_Pre,Shrub,0.17500000000000002
ESV-28-C-03.01_Pre,Tree,5.575
ESV-28-C-03.post0-1,Forb,0.925
ESV-28-C-03.post0-1,Graminoid,1.8
ESV-28-C-03.post0-1,Shrub,0.17500000000000002
ESV-28-C-03.post0-1,Tree,8.05
ESV-28-C-03.post04-5,Forb,2.1750000000000003
ESV-28-C-03.post04-5,Graminoid,5.55
ESV-28-C-03.post04-5,Shrub,2.65
ESV-28-C-03.post04-5,Tree,5.575
ESV-28-C-03.post10-11,Forb,2.2125
ESV-28-C-03.post10-11,Graminoid,0.5625
ESV-28-C-03.post10-11,Shrub,0.9
ESV-28-C-03.post10-11,Tree,2.1
ESV-28-C-03.post10-11,UNK,0.6375
ESV-28-C-05.01_Pre,Forb,0.3375
ESV-28-C-05.01_Pre,Graminoid,0.05
ESV-28-C-05.01_Pre,Shrub,6.05
ESV-28-C-05.01_Pre,Tree,9.275
ESV-28-C-05.post0-1,Forb,0.4
ESV-28-C-05.post0-1,Graminoid,1.25
ESV-28-C-05.post0-1,Shrub,5.3
ESV-28-C-05.post0-1,Tree,10.025
ESV-28-C-05.post04-5,Forb,0.25
ESV-28-C-05.post04-5,Graminoid,0.275
ESV-28-C-05.post04-5,Shrub,5.825
ESV-28-C-05.post04-5,Tree,17.55
ESV-28-C-05.post10-11,Forb,0.225
ESV-28-C-05.post10-11,Graminoid,1.075
ESV-28-C-05.post10-11,Shrub,5.9625
ESV-28-C-05.post10-11,Tree,14.4375
ESV-28-T-461-02.01_Pre,Forb,0.75
ESV-28-T-461-02.01_Pre,Graminoid,0.125
ESV-28-T-461-02.01_Pre,Shrub,1.575
ESV-28-T-461-02.01_Pre,Tree,25.525
ESV-28-T-461-02.post0-1,Forb,0.25
ESV-28-T-461-02.post0-1,Graminoid,1.1
ESV-28-T-461-02.post0-1,Shrub,2.6
ESV-28-T-461-02.post0-1,Tree,3.775
ESV-28-T-461-02.post04-5,Forb,1.675
