PlotCode,cwd,year,new_visit_code,mean,sd,cwd_z
ESV-13-C-01,148.6,2011,ESV-13-C-01.01_Pre,160.6966666666667,80.78834195230337,-0.1497328249886406
ESV-13-C-01,148,2013,ESV-13-C-01.post0-1,160.6966666666667,80.78834195230337,-0.15715963912420275
ESV-13-C-01,154.9,2017,ESV-13-C-01.post04-5,160.6966666666667,80.78834195230337,-0.07175127656523729
ESV-13-C-01,207.3,2022,ESV-13-C-01.post10-11,160.6966666666667,80.78834195230337,0.5768571579405289
ESV-13-C-02,228.5,2011,ESV-13-C-02.01_Pre,220.07000000000002,81.51289362785624,0.1034192214852143
ESV-13-C-02,223,2013,ESV-13-C-02.post0-1,220.07000000000002,81.51289362785624,0.035945233564848925
ESV-13-C-02,215.2,2017,ESV-13-C-02.post04-5,220.07000000000002,81.51289362785624,-0.05974514930403302
ESV-13-C-02,281.5,2022,ESV-13-C-02.post10-11,220.07000000000002,81.51289362785624,0.7536231050814625
ESV-13-C-03,148.6,2011,ESV-13-C-03.01_Pre,160.6966666666667,80.78834195230337,-0.1497328249886406
ESV-13-C-03,148,2013,ESV-13-C-03.post0-1,160.6966666666667,80.78834195230337,-0.15715963912420275
ESV-13-C-03,154.9,2017,ESV-13-C-03.post04-5,160.6966666666667,80.78834195230337,-0.07175127656523729
ESV-13-C-03,207.3,2022,ESV-13-C-03.post10-11,160.6966666666667,80.78834195230337,0.5768571579405289
ESV-13-T-83-02,148.6,2011,ESV-13-T-83-02.01_Pre,160.6966666666667,80.78834195230337,-0.1497328249886406
ESV-13-T-83-02,148,2013,ESV-13-T-83-02.post0-1,160.6966666666667,80.78834195230337,-0.15715963912420275
ESV-13-T-83-02,154.9,2017,ESV-13-T-83-02.post04-5,160.6966666666667,80.78834195230337,-0.07175127656523729
ESV-13-T-83-02,207.3,2022,ESV-13-T-83-02.post10-11,160.6966666666667,80.78834195230337,0.5768571579405289
ESV-13-T-83-03,148.6,2011,ESV-13-T-83-03.01_Pre,160.6966666666667,80.78834195230337,-0.1497328249886406
ESV-13-T-83-03,148,2013,ESV-13-T-83-03.post0-1,160.6966666666667,80.78834195230337,-0.15715963912420275
ESV-13-T-83-03,154.9,2017,ESV-13-T-83-03.post04-5,160.6966666666667,80.78834195230337,-0.07175127656523729
ESV-13-T-83-03,207.3,2022,ESV-13-T-83-03.post10-11,160.6966666666667,80.78834195230337,0.5768571579405289
ESV-13-T-83-04,148.6,2011,ESV-13-T-83-04.01_Pre,160.6966666666667,80.78834195230337,-0.1497328249886406
