Distribution Data
Symbol,Country,State,State FIP,County,County FIP
LIDA,Canada,Alberta,01,,
LIDA,Canada,British Columbia,02,,
LIDA,Canada,Manitoba,03,,
LIDA,Canada,New Brunswick,04,,
LIDA,United States,Arizona,04,,
LIDA,United States,Arizona,04,Coconino,005
LIDA,United States,Arizona,04,Yavapai,025
LIDA,United States,California,06,,
LIDA,United States,California,06,Alameda,001
LIDA,United States,California,06,Alpine,003
LIDA,United States,California,06,Butte,007
LIDA,United States,California,06,Calaveras,009
LIDA,United States,California,06,Colusa,011
LIDA,United States,California,06,Contra Costa,013
LIDA,United States,California,06,Del Norte,015
LIDA,United States,California,06,El Dorado,017
LIDA,United States,California,06,Glenn,021
LIDA,United States,California,06,Humboldt,023
LIDA,United States,California,06,Inyo,027
LIDA,United States,California,06,Kern,029
LIDA,United States,California,06,Lake,033
LIDA,United States,California,06,Lassen,035
LIDA,United States,California,06,Los Angeles,037
LIDA,United States,California,06,Madera,039
LIDA,United States,California,06,Mendocino,045
LIDA,United States,California,06,Merced,047
LIDA,United States,California,06,Modoc,049
LIDA,United States,California,06,Mono,051
LIDA,United States,California,06,Monterey,053
LIDA,United States,California,06,Napa,055
LIDA,United States,California,06,Nevada,057
LIDA,United States,California,06,Placer,061
LIDA,United States,California,06,Plumas,063
LIDA,United States,California,06,Riverside,065
LIDA,United States,California,06,Sacramento,067
LIDA,United States,California,06,San Bernardino,071
LIDA,United States,California,06,San Diego,073
LIDA,United States,California,06,San Joaquin,077
LIDA,United States,California,06,San Luis Obispo,079
LIDA,United States,California,06,San Mateo,081
LIDA,United States,California,06,Santa Barbara,083
LIDA,United States,California,06,Santa Clara,085
LIDA,United States,California,06,Santa Cruz,087
LIDA,United States,California,06,Shasta,089
LIDA,United States,California,06,Sierra,091
LIDA,United States,California,06,Siskiyou,093
LIDA,United States,California,06,Solano,095
LIDA,United States,California,06,Tehama,103
LIDA,United States,California,06,Trinity,105
LIDA,United States,California,06,Tulare,107
LIDA,United States,California,06,Ventura,111
LIDA,United States,California,06,Yolo,113
LIDA,Canada,Nova Scotia,07,,
LIDA,Canada,Ontario,08,,
LIDA,United States,Colorado,08,,
LIDA,United States,Colorado,08,Baca,009
LIDA,United States,Colorado,08,Boulder,013
LIDA,United States,Colorado,08,Dolores,033
LIDA,United States,Colorado,08,El Paso,041
LIDA,United States,Colorado,08,Garfield,045
LIDA,United States,Colorado,08,Jefferson,059
LIDA,United States,Colorado,08,Larimer,069
LIDA,United States,Colorado,08,Las Animas,071
LIDA,United States,Colorado,08,Moffat,081
LIDA,United States,Colorado,08,Montezuma,083
LIDA,United States,Colorado,08,Pitkin,097
LIDA,United States,Colorado,08,Routt,107
LIDA,United States,Colorado,08,San Miguel,113
LIDA,United States,Colorado,08,Washington,121
LIDA,United States,Connecticut,09,,
LIDA,Canada,Quebec,10,,
LIDA,Canada,Saskatchewan,11,,
LIDA,United States,Idaho,16,,
LIDA,United States,Idaho,16,Ada,001
LIDA,United States,Idaho,16,Adams,003
LIDA,United States,Idaho,16,Bannock,005
LIDA,United States,Idaho,16,Bear Lake,007
LIDA,United States,Idaho,16,Benewah,009
LIDA,United States,Idaho,16,Bingham,011
LIDA,United States,Idaho,16,Blaine,013
LIDA,United States,Idaho,16,Boise,015
LIDA,United States,Idaho,16,Bonner,017
LIDA,United States,Idaho,16,Bonneville,019
LIDA,United States,Idaho,16,Boundary,021
LIDA,United States,Idaho,16,Camas,025
LIDA,United States,Idaho,16,Canyon,027
LIDA,United States,Idaho,16,Caribou,029
LIDA,United States,Idaho,16,Cassia,031
LIDA,United States,Idaho,16,Clark,033
LIDA,United States,Idaho,16,Clearwater,035
LIDA,United States,Idaho,16,Custer,037
LIDA,United States,Idaho,16,Elmore,039
LIDA,United States,Idaho,16,Franklin,041
LIDA,United States,Idaho,16,Fremont,043
LIDA,United States,Idaho,16,Gem,045
LIDA,United States,Idaho,16,Idaho,049
LIDA,United States,Idaho,16,Jefferson,051
LIDA,United States,Idaho,16,Jerome,053
LIDA,United States,Idaho,16,Kootenai,055
LIDA,United States,Idaho,16,Latah,057
LIDA,United States,Idaho,16,Lemhi,059
LIDA,United States,Idaho,16,Lewis,061
LIDA,United States,Idaho,16,Lincoln,063
LIDA,United States,Idaho,16,Madison,065
LIDA,United States,Idaho,16,Minidoka,067
LIDA,United States,Idaho,16,Oneida,071
LIDA,United States,Idaho,16,Owyhee,073
LIDA,United States,Idaho,16,Payette,075
LIDA,United States,Idaho,16,Shoshone,079
LIDA,United States,Idaho,16,Twin Falls,083
LIDA,United States,Idaho,16,Valley,085
LIDA,United States,Idaho,16,Washington,087
LIDA,United States,Illinois,17,,
LIDA,United States,Illinois,17,Grundy,063
LIDA,United States,Illinois,17,Henderson,071
LIDA,United States,Illinois,17,Kane,089
LIDA,United States,Illinois,17,Kankakee,091
LIDA,United States,Illinois,17,Kendall,093
LIDA,United States,Illinois,17,Rock Island,161
LIDA,United States,Illinois,17,Tazewell,179
LIDA,United States,Illinois,17,Winnebago,201
LIDA,United States,Indiana,18,,
LIDA,United States,Indiana,18,Elkhart,039
LIDA,United States,Iowa,19,,
LIDA,United States,Kansas,20,,
LIDA,United States,Kansas,20,Barton,009
LIDA,United States,Kansas,20,Ellsworth,053
LIDA,United States,Kansas,20,Gove,063
LIDA,United States,Kansas,20,Johnson,091
LIDA,United States,Kansas,20,Kiowa,097
LIDA,United States,Kansas,20,Reno,155
LIDA,United States,Kansas,20,Sheridan,179
LIDA,United States,Maine,23,,
LIDA,United States,Maine,23,Cumberland,005
LIDA,United States,Maine,23,York,031
LIDA,United States,Massachusetts,25,,
LIDA,United States,Massachusetts,25,Essex,009
LIDA,United States,Michigan,26,,
LIDA,United States,Michigan,26,Benzie,019
LIDA,United States,Michigan,26,Cheboygan,031
LIDA,United States,Michigan,26,Clare,035
LIDA,United States,Michigan,26,Emmet,047
LIDA,United States,Michigan,26,Grand Traverse,055
LIDA,United States,Michigan,26,Houghton,061
LIDA,United States,Michigan,26,Kalamazoo,077
LIDA,United States,Michigan,26,Leelanau,089
LIDA,United States,Michigan,26,Lenawee,091
LIDA,United States,Michigan,26,Manistee,101
LIDA,United States,Michigan,26,Marquette,103
LIDA,United States,Michigan,26,Montmorency,119
LIDA,United States,Michigan,26,Muskegon,121
LIDA,United States,Michigan,26,Newaygo,123
LIDA,United States,Michigan,26,Oakland,125
LIDA,United States,Michigan,26,Ottawa,139
LIDA,United States,Michigan,26,Schoolcraft,153
LIDA,United States,Minnesota,27,,
LIDA,United States,Minnesota,27,Cass,021
LIDA,United States,Minnesota,27,Cook,031
LIDA,United States,Minnesota,27,Hubbard,057
LIDA,United States,Montana,30,,
LIDA,United States,Montana,30,Beaverhead,001
LIDA,United States,Montana,30,Big Horn,003
LIDA,United States,Montana,30,Blaine,005
LIDA,United States,Montana,30,Broadwater,007
LIDA,United States,Montana,30,Carbon,009
LIDA,United States,Montana,30,Cascade,013
LIDA,United States,Montana,30,Chouteau,015
LIDA,United States,Montana,30,Daniels,019
LIDA,United States,Montana,30,Dawson,021
LIDA,United States,Montana,30,Deer Lodge,023
LIDA,United States,Montana,30,Fergus,027
LIDA,United States,Montana,30,Flathead,029
LIDA,United States,Montana,30,Gallatin,031
LIDA,United States,Montana,30,Garfield,033
LIDA,United States,Montana,30,Glacier,035
LIDA,United States,Montana,30,Golden Valley,037
LIDA,United States,Montana,30,Granite,039
LIDA,United States,Montana,30,Hill,041
LIDA,United States,Montana,30,Jefferson,043
LIDA,United States,Montana,30,Judith Basin,045
LIDA,United States,Montana,30,Lake,047
LIDA,United States,Montana,30,Lewis and Clark,049
LIDA,United States,Montana,30,Liberty,051
LIDA,United States,Montana,30,Lincoln,053
LIDA,United States,Montana,30,Madison,057
LIDA,United States,Montana,30,Meagher,059
LIDA,United States,Montana,30,Mineral,061
LIDA,United States,Montana,30,Missoula,063
LIDA,United States,Montana,30,Musselshell,065
LIDA,United States,Montana,30,Park,067
LIDA,United States,Montana,30,Phillips,071
LIDA,United States,Montana,30,Pondera,073
LIDA,United States,Montana,30,Prairie,079
LIDA,United States,Montana,30,Ravalli,081
LIDA,United States,Montana,30,Richland,083
LIDA,United States,Montana,30,Roosevelt,085
LIDA,United States,Montana,30,Rosebud,087
LIDA,United States,Montana,30,Sanders,089
LIDA,United States,Montana,30,Sheridan,091
LIDA,United States,Montana,30,Silver Bow,093
LIDA,United States,Montana,30,Stillwater,095
LIDA,United States,Montana,30,Sweet Grass,097
LIDA,United States,Montana,30,Teton,099
LIDA,United States,Montana,30,Toole,101
LIDA,United States,Montana,30,Valley,105
LIDA,United States,Montana,30,Wibaux,109
LIDA,United States,Montana,30,Yellowstone,111
LIDA,United States,Nebraska,31,,
LIDA,United States,Nebraska,31,Dawes,045
LIDA,United States,Nevada,32,,
LIDA,United States,Nevada,32,Lincoln,017
LIDA,United States,New Hampshire,33,,
LIDA,United States,New Hampshire,33,Cheshire,005
LIDA,United States,New Hampshire,33,Hillsborough,011
LIDA,United States,New Hampshire,33,Strafford,017
LIDA,United States,New Jersey,34,,
LIDA,United States,New Mexico,35,,
LIDA,United States,New Mexico,35,Bernalillo,001
LIDA,United States,New Mexico,35,Chaves,005
LIDA,United States,New Mexico,35,Grant,017
LIDA,United States,New Mexico,35,Lincoln,027
LIDA,United States,New Mexico,35,McKinley,031
LIDA,United States,New Mexico,35,Rio Arriba,039
LIDA,United States,New Mexico,35,San Juan,045
LIDA,United States,New Mexico,35,Sandoval,043
LIDA,United States,New Mexico,35,Santa Fe,049
LIDA,United States,New Mexico,35,Torrance,057
LIDA,United States,New York,36,,
LIDA,United States,New York,36,Kings,047
LIDA,United States,New York,36,Queens,081
LIDA,United States,New York,36,Ulster,111
LIDA,United States,North Dakota,38,,
LIDA,United States,North Dakota,38,Eddy,027
LIDA,United States,North Dakota,38,Emmons,029
LIDA,United States,North Dakota,38,Stark,089
LIDA,United States,Ohio,39,,
LIDA,United States,Ohio,39,Franklin,049
LIDA,United States,Ohio,39,Ottawa,123
LIDA,United States,Oklahoma,40,,
LIDA,United States,Oklahoma,40,Dewey,043
LIDA,United States,Oregon,41,,
LIDA,United States,Oregon,41,Baker,001
LIDA,United States,Oregon,41,Crook,013
LIDA,United States,Oregon,41,Curry,015
LIDA,United States,Oregon,41,Deschutes,017
LIDA,United States,Oregon,41,Douglas,019
LIDA,United States,Oregon,41,Gilliam,021
LIDA,United States,Oregon,41,Grant,023
LIDA,United States,Oregon,41,Harney,025
LIDA,United States,Oregon,41,Hood River,027
LIDA,United States,Oregon,41,Jackson,029
LIDA,United States,Oregon,41,Jefferson,031
LIDA,United States,Oregon,41,Klamath,035
LIDA,United States,Oregon,41,Lake,037
LIDA,United States,Oregon,41,Malheur,045
LIDA,United States,Oregon,41,Morrow,049
LIDA,United States,Oregon,41,Multnomah,051
LIDA,United States,Oregon,41,Sherman,055
LIDA,United States,Oregon,41,Umatilla,059
LIDA,United States,Oregon,41,Union,061
LIDA,United States,Oregon,41,Wallowa,063
LIDA,United States,Oregon,41,Wasco,065
LIDA,United States,Oregon,41,Wheeler,069
LIDA,United States,Pennsylvania,42,,
LIDA,United States,Pennsylvania,42,Allegheny,003
LIDA,United States,Pennsylvania,42,Bucks,017
LIDA,United States,Pennsylvania,42,Cumberland,041
LIDA,United States,Pennsylvania,42,Elk,047
LIDA,United States,South Dakota,46,,
LIDA,United States,South Dakota,46,Pennington,103
LIDA,United States,Utah,49,,
LIDA,United States,Utah,49,Beaver,001
LIDA,United States,Utah,49,Cache,005
LIDA,United States,Utah,49,Emery,015
LIDA,United States,Utah,49,Garfield,017
LIDA,United States,Utah,49,Grand,019
LIDA,United States,Utah,49,Rich,033
LIDA,United States,Utah,49,Salt Lake,035
LIDA,United States,Utah,49,San Juan,037
LIDA,United States,Utah,49,Summit,043
LIDA,United States,Utah,49,Uintah,047
LIDA,United States,Utah,49,Utah,049
LIDA,United States,Utah,49,Wasatch,051
LIDA,United States,Vermont,50,,
LIDA,United States,Vermont,50,Caledonia,005
LIDA,United States,Washington,53,,
LIDA,United States,Washington,53,Adams,001
LIDA,United States,Washington,53,Asotin,003
LIDA,United States,Washington,53,Benton,005
LIDA,United States,Washington,53,Chelan,007
LIDA,United States,Washington,53,Clallam,009
LIDA,United States,Washington,53,Columbia,013
LIDA,United States,Washington,53,Cowlitz,015
LIDA,United States,Washington,53,Douglas,017
LIDA,United States,Washington,53,Ferry,019
LIDA,United States,Washington,53,Franklin,021
LIDA,United States,Washington,53,Garfield,023
LIDA,United States,Washington,53,Grant,025
LIDA,United States,Washington,53,Grays Harbor,027
LIDA,United States,Washington,53,Jefferson,031
LIDA,United States,Washington,53,King,033
LIDA,United States,Washington,53,Kitsap,035
LIDA,United States,Washington,53,Kittitas,037
LIDA,United States,Washington,53,Klickitat,039
LIDA,United States,Washington,53,Lewis,041
LIDA,United States,Washington,53,Lincoln,043
LIDA,United States,Washington,53,Okanogan,047
LIDA,United States,Washington,53,Pend Oreille,051
LIDA,United States,Washington,53,Pierce,053
LIDA,United States,Washington,53,San Juan,055
LIDA,United States,Washington,53,Skagit,057
LIDA,United States,Washington,53,Skamania,059
LIDA,United States,Washington,53,Snohomish,061
LIDA,United States,Washington,53,Spokane,063
LIDA,United States,Washington,53,Stevens,065
LIDA,United States,Washington,53,Thurston,067
LIDA,United States,Washington,53,Walla Walla,071
LIDA,United States,Washington,53,Whatcom,073
LIDA,United States,Washington,53,Whitman,075
LIDA,United States,Washington,53,Yakima,077
LIDA,United States,Wisconsin,55,,
LIDA,United States,Wisconsin,55,Ashland,003
LIDA,United States,Wisconsin,55,Bayfield,007
LIDA,United States,Wisconsin,55,Dane,025
LIDA,United States,Wisconsin,55,Dodge,027
LIDA,United States,Wisconsin,55,Green,045
LIDA,United States,Wisconsin,55,Sauk,111
LIDA,United States,Wisconsin,55,Sawyer,113
LIDA,United States,Wisconsin,55,Vilas,125
LIDA,United States,Wyoming,56,,
LIDA,United States,Wyoming,56,Albany,001
LIDA,United States,Wyoming,56,Campbell,005
LIDA,United States,Wyoming,56,Carbon,007
LIDA,United States,Wyoming,56,Converse,009
LIDA,United States,Wyoming,56,Crook,011
LIDA,United States,Wyoming,56,Fremont,013
LIDA,United States,Wyoming,56,Goshen,015
LIDA,United States,Wyoming,56,Hot Springs,017
LIDA,United States,Wyoming,56,Johnson,019
LIDA,United States,Wyoming,56,Laramie,021
LIDA,United States,Wyoming,56,Lincoln,023
LIDA,United States,Wyoming,56,Natrona,025
LIDA,United States,Wyoming,56,Niobrara,027
LIDA,United States,Wyoming,56,Park,029
LIDA,United States,Wyoming,56,Platte,031
LIDA,United States,Wyoming,56,Sheridan,033
LIDA,United States,Wyoming,56,Sublette,035
LIDA,United States,Wyoming,56,Sweetwater,037
LIDA,United States,Wyoming,56,Teton,039
LIDA,United States,Wyoming,56,Washakie,043
LIDA,United States,Wyoming,56,Weston,045
LIDA,Canada,Newfoundland,NF,,
