Search type: Characteristics
Introduced - L48

Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
HELE4,,×Hesperotropsis leylandii (A.B. Jacks. & Dallim.) Garland & Gerry Moore [Hesperocyparis macrocarpa × Callitropsis nootkatensis],Leyland cypress
HELE4,CULE2,×Cupressocyparis leylandii (Dallim. & A.B. Jacks.) Dallim.,
ABGR4,,Abelia ×grandiflora (Rovelli ex André) Rehder [chinensis × uniflora],glossy abelia
ACCY2,,Acacia cyclops A. Cunn. ex G. Don,coastal wattle
ACLO,,Acacia longifolia (Andrews) Willd.,Sydney golden wattle
ACME,,Acacia melanoxylon R. Br.,blackwood
ACGI,,Acer ginnala Maxim.,Amur maple
ACPL,,Acer platanoides L.,Norway maple
ACPS,,Acer pseudoplatanus L.,sycamore maple
ACMI2,,Achillea millefolium L.,common yarrow
ACCA4,,Acorus calamus L.,calamus
AGCR,,Agropyron cristatum (L.) Gaertn.,crested wheatgrass
AGDE2,,Agropyron desertorum (Fisch. ex Link) Schult.,desert wheatgrass
AGFR,,Agropyron fragile (Roth) P. Candargy,Siberian wheatgrass
AGCA5,,Agrostis capillaris L.,colonial bentgrass
AGGI2,,Agrostis gigantea Roth,redtop
AGST2,,Agrostis stolonifera L.,creeping bentgrass
AIAL,,Ailanthus altissima (Mill.) Swingle,tree of heaven
AJRE,,Ajuga reptans L.,common bugle
ALJU,,Albizia julibrissin Durazz.,silktree
ALMO,,Aleurites moluccanus (L.) Willd.,Indian walnut
ALMO,ALMO2,"Aleurites moluccana (L.) Willd., orth. var.",
ALPL,,Alisma plantago-aquatica L.,European water plantain
ALGL2,,Alnus glutinosa (L.) Gaertn.,European alder
ALAR,,Alopecurus arundinaceus Poir.,creeping meadow foxtail
ALGE2,,Alopecurus geniculatus L.,water foxtail
ALMY,,Alopecurus myosuroides Huds.,slender meadow foxtail
ALPR3,,Alopecurus pratensis L.,meadow foxtail
ALPH,,Alternanthera philoxeroides (Mart.) Griseb.,alligatorweed
AMAR4,,Ammophila arenaria (L.) Link,European beachgrass
ANCO30,,Ananas comosus (L.) Merr.,pineapple
ARHA10,,Arachis hagenbeckii Harms,rhizoma peanut
ARHE12,,Araucaria heterophylla (Salisb.) Franco,Norfolk Island pine
AREL3,,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl,tall oatgrass
ARLU,,Artemisia ludoviciana Nutt.,white sagebrush
ARTE4,,Arundinaria tecta (Walter) Muhl.,switchcane
ARTE4,ARGIT8,Arundinaria gigantea (Walter) Muhl. ssp. tecta (Walter) McClure,
ARDO4,,Arundo donax L.,giant reed
ASCI4,,Astragalus cicer L.,chickpea milkvetch
ATNU,,Atriplex nummularia Lindl.,bluegreen saltbush
ATSE,,Atriplex semibaccata R. Br.,Australian saltbush
AVFA,,Avena fatua L.,wild oat
AVSA,,Avena sativa L.,common oat
AVST2,,Avena strigosa Schreb.,black oats
BAVU2,,Bambusa vulgaris Schrad. ex J.C. Wendl.,common bamboo
BAHY,,Bassia hyssopifolia (Pall.) Kuntz,fivehorn smotherweed
BAPR5,,Bassia prostrata (L.) A.J. Scott,forage kochia
BAPR5,KOPR80,Kochia prostrata (L.) Schrad.,
BASC5,,Bassia scoparia (L.) A.J. Scott,burningbush
BASC5,KOSC,Kochia scoparia (L.) Schrad.,
BEJU4,,Berberis julianae C.K. Schneid.,wintergreen barberry
BEJU4,BEJU3,"Berberis julianiae C.K. Schneid., orth. var.",
BETH,,Berberis thunbergii DC.,Japanese barberry
BEPE3,,Betula pendula Roth,European white birch
BOBL,,Bothriochloa bladhii (Retz.) S.T. Blake,Caucasian bluestem
BOISI,,Bothriochloa ischaemum (L.) Keng var. ischaemum,yellow bluestem
BOISS,,Bothriochloa ischaemum (L.) Keng var. songarica (Rupr. ex Fisch. & C.A. Mey.) Celarier & Harlan,yellow bluestem
BOPE2,,Bothriochloa pertusa (L.) A. Camus,pitted beardgrass
BRJU,,Brassica juncea (L.) Czern.,brown mustard
BRNA,,Brassica napus L.,rape
BRRA,,Brassica rapa L.,field mustard
BRMA,,Briza maxima L.,big quakinggrass
BRPI4,,Bromelia pinguin L.,pinguin
BRAR5,,Bromus arvensis L.,field brome
BRBR5,,Bromus briziformis Fisch. & C.A. Mey.,rattlesnake brome
BRCA6,,Bromus catharticus Vahl,rescuegrass
BRHOH,,Bromus hordeaceus L. ssp. hordeaceus,soft brome
BRIN2,,Bromus inermis Leyss.,smooth brome
BRRU2,,Bromus rubens L.,red brome
CAGI,,Caesalpinia gilliesii (Wall. ex Hook.) Wall. ex D. Dietr.,bird-of-paradise shrub
CACA27,,Cajanus cajan (L.) Millsp.,pigeonpea
CAAR18,,Caragana arborescens Lam.,Siberian peashrub
CAKO2,,Carex kobomugi Ohwi,Japanese sedge
CAPA23,,Carica papaya L.,papaya
CAMO83,,Castanea mollissima Blume,Chinese chestnut
CACU8,,Casuarina cunninghamiana Miq.,river sheoak
CAEQ,,Casuarina equisetifolia L.,beach sheoak
CAGL11,,Casuarina glauca Siebold ex Spreng.,gray sheoak
CEDE2,,Cedrus deodara (Roxb.) G. Don f.,Deodar cedar
CEOR7,,Celastrus orbiculatus Thunb.,Oriental bittersweet
CHJA2,,Chaenomeles japonica (Thunb.) Lindl. ex Spach,Maule's quince
CHGA2,,Chloris gayana Kunth,Rhodes grass
CIIN,,Cichorium intybus L.,chicory
CIPA3,,Citrus ×paradisi Macfad. (pro sp.) [maxima × sinensis],grapefruit
CISI3,,Citrus ×sinensis (L.) Osbeck (pro sp.) [maxima × reticulata],sweet orange
CISI3,CISI,"Citrus sinensis (L.) Osbeck, database artifact",
CONU,,Cocos nucifera L.,coconut palm
COAR6,,Colutea arborescens L.,bladder senna
COMA7,,Convallaria majalis L.,European lily of the valley
COMA21,,Cornus mas L.,Cornelian cherry
COSE4,,Cortaderia selloana (Schult. & Schult. f.) Asch. & Graebn.,Uruguayan pampas grass
COAC2,,Cotoneaster acutifolius Turcz.,Peking cotoneaster
COAP3,,Cotoneaster apiculatus Rehder & E.H. Wilson,cranberry cotoneaster
COHO80,,Cotoneaster horizontalis Decne.,rockspray cotoneaster
CRMO3,,Crataegus monogyna Jacq.,oneseed hawthorn
CRJU,,Crotalaria juncea L.,sunn hemp
CRSP2,,Crotalaria spectabilis Roth,showy rattlebox
CRJA3,,Cryptomeria japonica (L. f.) D. Don,Japanese cedar
CYOB2,,Cydonia oblonga Mill.,quince
CYDA,,Cynodon dactylon (L.) Pers.,Bermudagrass
CYES,,Cyperus esculentus L.,yellow nutsedge
CYSC4,,Cytisus scoparius (L.) Link,Scotch broom
DAGL,,Dactylis glomerata L.,orchardgrass
DERE,,Delonix regia (Bojer ex Hook.) Raf.,royal poinciana
DEIN3,,Desmodium incanum DC.,zarzabacoa comun
DEIN2,,Desmodium intortum (Mill.) Urb.,greenleaf ticktrefoil
DETR4,,Desmodium triflorum (L.) DC.,threeflower ticktrefoil
DEGR3,,Deutzia gracilis Siebold & Zucc.,slender pride of Rochester
DIAN,,Dichanthium annulatum (Forssk.) Stapf,Kleberg's bluestem
DIAR5,,Dichanthium aristatum (Poir.) C.E. Hubbard,Angleton bluestem
DIPU,,Digitalis purpurea L.,purple foxglove
DIER,,Digitaria eriantha Steud.,digitgrass
ECCO2,,Echinochloa colona (L.) Link,jungle rice
ECFR,,Echinochloa frumentacea Link,billion-dollar grass
EHCA,,Ehrharta calycina Sm.,perennial veldtgrass
ELAN,,Elaeagnus angustifolia L.,Russian olive
ELUM,,Elaeagnus umbellata Thunb.,autumn olive
ELRE4,,Elymus repens (L.) Gould,quackgrass
ERCU2,,Eragrostis curvula (Schrad.) Nees,weeping lovegrass
ERLE,,Eragrostis lehmanniana Nees,Lehmann lovegrass
ERSU,,Eragrostis superba Peyr.,Wilman lovegrass
EROP,,Eremochloa ophiuroides (Munro) Hack.,centipede grass
